id,buffer_size,batch_size,learn_rate,max_t,neurons,episodes,avg_score,time
1,100000,64,0.001,1000,128,50,0.46,1900-01-01 00:00:14.470509
2,100000,64,0.001,1000,256,50,0.63,1900-01-01 00:00:14.555644
3,100000,64,0.001,3000,128,50,0.74,1900-01-01 00:00:14.998592
4,100000,64,0.001,3000,256,50,0.62,1900-01-01 00:00:15.527081
5,100000,64,0.0001,1000,128,50,0.29,1900-01-01 00:00:15.633495
6,100000,64,0.0001,1000,256,50,0.7,1900-01-01 00:00:15.915925
7,100000,64,0.0001,3000,128,50,0.07,1900-01-01 00:00:16.152890
8,100000,64,0.0001,3000,256,50,0.45,1900-01-01 00:00:15.713651
9,100000,128,0.001,1000,128,50,0.76,1900-01-01 00:00:17.392905
10,100000,128,0.001,1000,256,50,0.91,1900-01-01 00:00:17.601879
11,100000,128,0.001,3000,128,50,0.72,1900-01-01 00:00:15.916030
13,100000,128,0.0001,1000,128,50,0.38,1900-01-01 00:00:16.483312
16,100000,128,0.0001,3000,256,50,0.05,1900-01-01 00:00:17.303011
17,100000,256,0.001,1000,128,50,0.83,1900-01-01 00:00:20.479269
18,100000,256,0.001,1000,256,50,0.84,1900-01-01 00:00:20.787934
19,100000,256,0.001,3000,128,50,0.75,1900-01-01 00:00:19.799508
20,100000,256,0.001,3000,256,100,1.27,1900-01-01 00:00:20.971953
21,100000,256,0.0001,1000,128,50,0.1,1900-01-01 00:00:20.144430
